trial_number,evaluation_index,dataset_index,phase,observed_objective,best_objective
1,1,1462,init,84.03,84.03
1,2,1405,init,0.0,84.03
1,3,1095,init,23.5,84.03
1,4,879,init,16.92,84.03
1,5,464,init,21.43,84.03
1,6,70,init,0.91,84.03
1,7,28,init,6.24,84.03
1,8,530,init,6.22,84.03
1,9,302,init,31.18,84.03
1,10,129,init,0.0,84.03
1,11,1158,bo,26.56,84.03
1,12,401,bo,89.17,89.17
1,13,1008,bo,9.87,89.17
1,14,1039,bo,0.0,89.17
1,15,1315,bo,0.0,89.17
1,16,479,bo,39.81,89.17
1,17,86,bo,19.51,89.17
1,18,989,bo,0.0,89.17
1,19,4,bo,28.15,89.17
1,20,963,bo,75.22,89.17
1,21,605,bo,32.5,89.17
1,22,945,bo,8.98,89.17
1,23,601,bo,0.0,89.17
1,24,200,bo,68.33,89.17
1,25,499,bo,0.0,89.17
1,26,1526,bo,1.65,89.17
1,27,877,bo,0.0,89.17
1,28,1562,bo,11.6,89.17
1,29,1542,bo,64.46,89.17
1,30,803,bo,71.43,89.17
1,31,66,bo,27.48,89.17
1,32,522,bo,42.63,89.17
1,33,202,bo,86.46,89.17
1,34,1373,bo,0.0,89.17
1,35,88,bo,10.5,89.17
1,36,1295,bo,0.0,89.17
1,37,1343,bo,0.0,89.17
1,38,1151,bo,0.0,89.17
1,39,470,bo,14.43,89.17
1,40,87,bo,0.55,89.17
2,1,538,init,3.07,3.07
2,2,813,init,3.33,3.33
2,3,1419,init,5.4,5.4
2,4,60,init,26.64,26.64
2,5,1637,init,2.78,26.64
2,6,880,init,39.55,39.55
2,7,248,init,0.0,39.55
2,8,1299,init,5.59,39.55
2,9,1636,init,98.38,98.38
2,10,430,init,6.51,98.38
2,11,1075,bo,3.7,98.38
2,12,1479,bo,36.32,98.38
2,13,748,bo,3.57,98.38
2,14,1577,bo,0.0,98.38
2,15,744,bo,16.87,98.38
2,16,976,bo,83.25,98.38
2,17,160,bo,1.9,98.38
2,18,1421,bo,0.0,98.38
2,19,782,bo,32.21,98.38
2,20,1261,bo,20.41,98.38
2,21,274,bo,4.48,98.38
2,22,1517,bo,0.0,98.38
2,23,1466,bo,5.26,98.38
2,24,934,bo,17.93,98.38
2,25,1544,bo,72.45,98.38
2,26,1462,bo,84.03,98.38
2,27,214,bo,76.33,98.38
2,28,169,bo,0.0,98.38
2,29,1066,bo,87.59,98.38
2,30,693,bo,9.07,98.38
2,31,939,bo,4.95,98.38
2,32,962,bo,13.11,98.38
2,33,351,bo,0.0,98.38
2,34,986,bo,14.36,98.38
2,35,833,bo,6.23,98.38
2,36,870,bo,26.29,98.38
2,37,243,bo,0.0,98.38
2,38,1536,bo,32.04,98.38
2,39,198,bo,0.26,98.38
2,40,1618,bo,31.32,98.38
3,1,1036,init,35.6,35.6
3,2,514,init,12.19,35.6
3,3,713,init,84.62,84.62
3,4,188,init,31.97,84.62
3,5,1439,init,0.0,84.62
3,6,1403,init,0.0,84.62
3,7,449,init,80.77,84.62
3,8,158,init,0.0,84.62
3,9,778,init,79.1,84.62
3,10,578,init,37.38,84.62
3,11,1211,bo,0.0,84.62
3,12,425,bo,72.89,84.62
3,13,1054,bo,16.46,84.62
3,14,1041,bo,9.9,84.62
3,15,878,bo,6.93,84.62
3,16,1576,bo,96.38,96.38
3,17,33,bo,0.35,96.38
3,18,85,bo,0.0,96.38
3,19,905,bo,0.0,96.38
3,20,675,bo,5.25,96.38
3,21,1159,bo,5.02,96.38
3,22,893,bo,0.0,96.38
3,23,1540,bo,87.0,96.38
3,24,1410,bo,10.59,96.38
3,25,1691,bo,0.0,96.38
3,26,703,bo,0.0,96.38
3,27,1117,bo,0.0,96.38
3,28,996,bo,16.19,96.38
3,29,1042,bo,32.37,96.38
3,30,268,bo,5.94,96.38
3,31,1596,bo,34.53,96.38
3,32,1505,bo,0.0,96.38
3,33,1668,bo,30.17,96.38
3,34,76,bo,2.06,96.38
3,35,202,bo,86.46,96.38
3,36,529,bo,0.0,96.38
3,37,708,bo,73.08,96.38
3,38,166,bo,0.26,96.38
3,39,146,bo,0.0,96.38
3,40,677,bo,48.86,96.38
